,cijena,kvadratura,broj_soba,sprat,namjesten,stanje,vrsta_grijanja,adresa,kvadratura_balkona,godina_izgradnje,vrsta_poda,blindirana_vrata,internet,kablovska_tv,klima,lift,novogradnja,tel_prikljucak,uknjizeno_zk,plin,podrum_tavan,video_nadzor,ostava_spajz,alarm,nedavno_adaptiran,object_latitude,object_longitude,udaljenost_od_centra
93,259000.0,51.0,3.0,1,Namješten,Dobro stanje,Centralno (Kotlovnica),Generala Mehmeda Alagića,4.0,2015,Parket,True,True,True,True,True,False,True,True,False,False,False,True,False,False,43.849477,18.363339,6415.6
94,235000.0,52.0,2.0,3,Namješten,,Centralno (Plin),Antuna Branka Šimića,0.0,,Parket,True,True,True,True,False,False,True,True,True,False,False,False,False,False,43.8478108,18.3767114,5461.8
95,239500.0,51.0,3.0,3,Namješten,,Centralno (gradsko),Džemala Bijedića,0.0,2020,Parket,True,True,True,True,True,True,True,True,False,False,False,False,False,False,43.8491952,18.3513892,7284.3
96,259000.0,63.0,3.0,6,Namješten,,Struja,Grbavička,0.0,,Parket,True,True,True,False,True,False,True,True,True,False,False,True,False,False,43.8496556,18.3979676,3474.2
97,132000.0,41.0,2.0,14,Namješten,Renoviran,Centralno (gradsko),Ive Andrića,0.0,,Parket,True,True,True,False,True,False,True,True,False,False,False,False,False,True,43.845031,18.3477151,7525.5
98,144998.0,41.0,1.5,Prizemlje,Namješten,Renoviran,Centralno (gradsko),Prijedorska,0.0,,Parket,True,True,True,False,False,False,True,True,False,False,False,False,False,True,43.8485683,18.3669563,5856.3
99,330000.0,66.0,3.0,4,Namješten,Renoviran,Centralno (Plin),Muse Ćazima Ćatića,0.0,,Parket,True,True,True,False,False,False,True,True,True,False,False,False,False,True,43.8609422,18.4247318,862.0
100,249500.0,78.0,4.0,6,Namješten,Renoviran,Centralno (Plin),Stupska,0.0,,Laminat,True,True,True,False,True,True,True,True,True,False,False,False,False,True,43.8392299,18.3246122,9733.5
101,119500.0,27.0,0.0,3,Namješten,,Centralno (gradsko),Latička,0.0,2020,Parket,True,True,True,True,True,True,True,True,False,False,False,False,False,False,43.8420935,18.3304715,9132.0
102,369000.0,100.0,4.0,1,Namješten,Renoviran,Centralno (Kotlovnica),Jezero,2.0,,Parket,True,True,True,False,False,False,True,True,False,False,True,True,False,True,43.8762114,18.4130708,3103.5
103,250000.0,55.0,2.0,13,Namješten,Renoviran,Centralno (gradsko),,4.0,1980-1989,Laminat,True,True,True,False,True,False,True,True,False,False,False,False,False,False,0.0,0.0,0.0
104,245000.0,77.0,3.0,2,Namješten,Renoviran,Plin,,0.0,,,True,True,True,False,False,False,True,True,True,True,False,True,False,True,0.0,0.0,0.0
105,265000.0,48.0,2.0,3,Namješten,Novogradnja,Centralno (Kotlovnica),,3.0,2020,Parket,True,True,True,False,True,False,True,True,True,False,True,False,False,False,0.0,0.0,0.0
106,180000.0,59.0,3.0,1,Namješten,,Centralno (Plin),Pijačna,0.0,2020,Laminat,True,True,True,False,False,True,True,True,True,False,False,False,False,False,43.8393648,18.3122385,10594.8
107,322000.0,78.0,3.0,6,Namješten,Renoviran,Centralno (gradsko),Semira Frašte,0.0,,Laminat,True,True,True,False,True,False,True,True,False,False,False,False,False,True,43.8399188,18.3444911,8348.3
108,227500.0,67.0,3.0,5,Namješten,Renoviran,Centralno (gradsko),Trg Heroja,0.0,,Parket,True,True,True,False,False,False,True,True,False,False,False,False,False,True,43.8492677,18.383128047272745,4830.0
109,440000.0,105.0,4.0,Prizemlje,Namješten,Renoviran,Centralno (gradsko),Hakije Kulenovića,58.0,,Parket,True,True,True,False,False,False,True,True,False,False,True,True,True,True,43.8636383,18.4077222,3791.1
110,280000.0,96.0,5.0,5,Namješten,,Centralno (Plin),Behdžeta Mutevelića,0.0,,Parket,True,True,True,False,False,False,True,True,True,False,False,False,False,False,43.8492043,18.3910013,4392.9
111,325000.0,103.0,4.0,5,Namješten,,Plin,24. Juna,0.0,,Parket,True,True,True,True,True,True,True,True,False,True,False,True,False,False,43.9028727,18.3512165,10357.1
112,250000.0,86.0,3.0,1,Namješten,Renoviran,Struja,Safvet-bega Bašagića,0.0,,Laminat,True,True,True,True,False,False,True,True,False,True,False,True,False,True,43.8614486,18.4315325,309.4
